IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
54.236.212.166,8443,443,true,IAD,North America,US,Ashburn,303,6.29
50.17.156.116,443,443,true,IAD,North America,US,Ashburn,402,6.29
44.200.77.5,443,443,true,IAD,North America,US,Ashburn,295,6.29
67.226.221.164,80,443,true,SJC,North America,US,San Jose,428,6.28
204.110.223.136,80,443,true,CMH,North America,US,Columbus,242,6.28
204.110.223.109,80,443,true,ORD,North America,US,Chicago,253,6.27
3.236.172.213,443,443,true,IAD,North America,US,Ashburn,386,6.27
204.110.223.24,80,443,true,CMH,North America,US,Columbus,236,6.27
54.200.111.48,443,443,true,SEA,North America,US,Seattle,262,6.27
34.219.117.33,443,443,true,PDX,North America,US,Portland,282,6.26
54.245.34.26,443,443,true,SEA,North America,US,Seattle,319,6.26
34.231.20.64,443,443,true,IAD,North America,US,Ashburn,320,6.26
67.226.222.176,80,443,true,ORD,North America,US,Chicago,484,6.26
52.221.229.230,443,443,true,SIN,Asia Pacific,SG,Singapore,301,6.25
54.188.95.62,443,443,true,SEA,North America,US,Seattle,248,6.25
204.110.221.39,80,443,true,YUL,North America,CA,Montréal,257,6.24
204.110.223.169,80,443,true,CMH,North America,US,Columbus,244,6.24
34.217.7.63,443,443,true,PDX,North America,US,Portland,312,6.24
204.110.220.143,80,443,true,SJC,North America,US,San Jose,207,6.23
52.14.51.207,443,443,true,YYZ,North America,CA,Toronto,325,6.23
34.200.255.151,80,443,true,IAD,North America,US,Ashburn,413,6.23
67.226.222.253,80,443,true,ORD,North America,US,Chicago,477,6.23
35.172.217.125,443,443,true,IAD,North America,US,Ashburn,334,6.23
34.216.69.78,443,443,true,PDX,North America,US,Portland,275,6.23
67.226.221.108,80,443,true,SJC,North America,US,San Jose,501,6.23
204.110.223.145,80,443,true,ORD,North America,US,Chicago,245,6.22
34.231.110.201,443,443,true,IAD,North America,US,Ashburn,244,6.22
44.211.235.80,443,443,true,IAD,North America,US,Ashburn,274,6.21
3.236.230.150,443,443,true,IAD,North America,US,Ashburn,317,6.20
54.202.119.6,443,443,true,SEA,North America,US,Seattle,216,6.19
67.226.221.180,80,443,true,SJC,North America,US,San Jose,442,6.19
204.110.223.95,80,443,true,CMH,North America,US,Columbus,251,6.19
67.226.222.170,80,443,true,CMH,North America,US,Columbus,481,6.19
35.176.122.246,443,443,true,LHR,Europe,GB,London,211,6.19
67.226.222.114,80,443,true,ORD,North America,US,Chicago,447,6.18
204.110.223.81,80,443,true,CMH,North America,US,Columbus,246,6.17
34.219.119.22,443,443,true,PDX,North America,US,Portland,482,6.17
204.110.221.167,80,443,true,YUL,North America,CA,Montréal,260,6.17
